Cd,Family,Genus,Species
CROTAR,Euphorbiaceae,Croton,argyratus
BUCHSE,Anacardiaceae,Buchanania,sessifolia
NAUCOF,Rubiaceae,Nauclea,officinalis
PAROVA,Flacourtiaceae,Paropsia,vareciformis
PARKSP,Leguminosae: Mimosa-Group,Parkia,speciosa
ARTONG,Moraceae,Artocarpus,nitidus
CROTLA,Euphorbiaceae,Croton,laevifolius
PTE1CO,Melastomataceae,Pternandra,coerulescens
PRUNGR,Rosaceae,Prunus,grisea
DILLSU,Dilleniaceae,Dillenia,sumatrana
CARABR,Rhizophoraceae,Carallia,brachiata
PTE1EC,Melastomataceae,Pternandra,echinata
ARTOIS,Moraceae,Artocarpus,integer
DYERCO,Apocynaceae,Dyera,costulata
ARTORI,Moraceae,Artocarpus,rigidus
RHODCI,Myrtaceae,Rhodamnia,cinerea
ARTOLO,Moraceae,Artocarpus,lowii
GLOCWA,Euphorbiaceae,Glochidion,wallichiana
ADENBI,Leguminosae: Mimosa-Group,Adenanthera,bicolor
BHESPA,Celastraceae,Bhesa,paniculata
ARTODA,Moraceae,Artocarpus,dadah
MACAHY,Euphorbiaceae,Macaranga,hypoleuca
EUODGL,Rutaceae,Melicope,glabra
VERNAR,Asteraceae,Vernonia,arborea
ALSTAN,Apocynaceae,Alstonia,angustiloba
FAGRRA,Gentianaceae,Fagraea,volubilis
CRATFO,Clusiaceae,Cratoxylum,formosum
MACACO,Euphorbiaceae,Macaranga,conifera
MACARE,Euphorbiaceae,Macaranga,recurvata
CALLMA,Verbenaceae,Callicarpa,maingayi
DECAFR,Myrtaceae,Decaspermum,fruticosum
MUSSBE,Rubiaceae,Mussaendopsis,beccariana
FICUCH,Moraceae,Ficus,chartacea
ENDOMA,Euphorbiaceae,Endospermum,diadenum
DILLRE,Dilleniaceae,Dillenia,reticulata
CRATMA,Clusiaceae,Cratoxylum,maingayi
ARTOAN,Moraceae,Artocarpus,anisophyllus
GLOCHY,Euphorbiaceae,Glochidion,hypoleucum
SAPIDI,Euphorbiaceae,Sapium,discolor
VITEQU,Verbenaceae,Vitex,quinata
FICUS2,Moraceae,Ficus,scortechinii
ALBIPE,Leguminosae: Mimosa-Group,Albizia,pedicellata
SAPIBA,Euphorbiaceae,Sapium,baccatum
MACAHO,Euphorbiaceae,Macaranga,hosei
MEL2MA,Melastomataceae,Melastoma,scabrum
GLOCSU,Euphorbiaceae,Glochidion,superbum
FICUV2,Moraceae,Ficus,variegata
CRATCO,Clusiaceae,Cratoxylum,cochinchinense
DILLGR,Dilleniaceae,Dillenia,grandifolia
NEO1CA,Rubiaceae,Neolamarckia,cadamba
MACAGI,Euphorbiaceae,Macaranga,gigantea
FICUOB,Moraceae,Ficus,obscura
SAURAN,Euphorbiaceae,Sauropus,androgynus
PHYLEM,Euphorbiaceae,Phyllanthus,pectinata
FICUS1,Moraceae,Ficus,schwarzii
CAMPAU,Anacardiaceae,Campnosperma,auriculata
FICUFI,Moraceae,Ficus,fistulosa
GLOCGL,Euphorbiaceae,Glochidion,glomerulatum
CASSNO,Leguminosae: Caesalpinia-Group,Cassia,nodosa
VITEPI,Verbenaceae,Vitex,pinnata
FICUFU,Moraceae,Ficus,fulva
FICUGR,Moraceae,Ficus,grossularioides
CRA2RE,Capparaceae,Crateva,religiosa
CRATAR,Clusiaceae,Cratoxylum,arborescens
GLOCOB,Euphorbiaceae,Glochidion,obscurum
GLOCSE,Euphorbiaceae,Glochidion,sericeum
,Ulmaceae,Trema,tomentosa
EPIPMA,Euphorbiaceae,Epiprinus,malayanus
SAR1MO,Oxalidaceae,Sarcotheca,monophylla
,Meliaceae,Sandoricum,beccarianum
,Olacaceae,Strombosia,ceylanica
,Saxifragaceae,Polyosma,species 1
XERONO,Sapindaceae,Xerospermum,noronhianum
RINOAN,Violaceae,Rinorea,anguifera
ANAXJA,Annonaceae,Anaxagorea,javanica
ARDICR,Myrsinaceae,Ardisia,crassa
APORM1,Euphorbiaceae,Aporusa,microstachya
SHORM2,Dipterocarpaceae,Shorea,maxwelliana
DACRR1,Burseraceae,Dacryodes,rugosa
KNEMLA,Myristicaceae,Knema,laurina
GIROPA,Ulmaceae,Gironniera,parvifolia
BARRMA,Lecythidaceae,Barringtonia,macrostachya
NEOBHE,Dipterocarpaceae,Neobalanocarpus,heimii
BACCPA,Euphorbiaceae,Baccaurea,parviflora
SCA1SP,Flacourtiaceae,Scaphocalyx,spathacea
DIOSSC,Ebenaceae,Diospyros,scortechinii
IXONIC,Ixonanthaceae,Ixonanthes ,icosandra
ALANEB,Alangiaceae,Alangium,ebenaceum
PIMEGR,Euphorbiaceae,Pimelodendron,griffithianum
AIDIWA,Rubiaceae,Aidia,wallichiana
LEPITE,Sapindaceae,Lepisanthes,tetraphylla
PHAEOP,Annonaceae,Phaeanthus,ophthalmicus
SHORP2,Dipterocarpaceae,Shorea,pauciflora
DACRRO,Burseraceae,Dacryodes,rostrata
APORBR,Euphorbiaceae,Aporusa,subcaudata
DIOSNU,Ebenaceae,Diospyros,nutans
SHORL1,Dipterocarpaceae,Shorea,leprosula
MACALO,Euphorbiaceae,Macaranga,lowii
KNEMFU,Myristicaceae,Knema,furfuracea
APORAU,Euphorbiaceae,Aporusa,aurea
XANTEU,Polygalaceae,Xanthophyllum,eurhynchum
MEMEMI,Melastomataceae,Memecylon,minutiflorum
ONC1MO,Annonaceae,Meiogyne,monosperma
KNEMPA,Myristicaceae,Knema,patentinervia
SHORAC,Dipterocarpaceae,Shorea,acuminata
ARCHBU,Leguminosae: Mimosa-Group,Archidendron,bubalinum
MESUFE,Clusiaceae,Mesua,ferrea
ARDIS2,Myrsinaceae,Ardisia,hulletii
UROPGL,Rubiaceae,Urophyllum,glabrum
LEPISE,Sapindaceae,Lepisanthes,senegalensis
ARDIKU,Myrsinaceae,Ardisia,kunstleri
LITHCU,Fagaceae,Lithocarpus,curtisii
MILLAT,Leguminosae: Phaseolus-Group,Millettia,atropurpurea
APORPR,Euphorbiaceae,Aporusa,prainiana
ROTHMA,Rubiaceae,Rothmannia,macrophylla
VATIBE,Dipterocarpaceae,Vatica,bella
MESUCO,Clusiaceae,Kayea,corneri
DIPTC1,Dipterocarpaceae,Dipterocarpus,cornutus
SHORM1,Dipterocarpaceae,Shorea,macroptera
CANALR,Burseraceae,Canarium,littorale var.rufa
PAYELU,Sapotaceae,Payena,lucida
DIOSAP,Ebenaceae,Diospyros,apiculata
LANSDO,Meliaceae,Lansium,domesticum
DIOSVE,Ebenaceae,Diospyros,venosa
TARES8,Rubiaceae,Tarenna,species 8
MALLPE,Euphorbiaceae,Mallotus,penangensis
NEPHCO,Sapindaceae,Nephelium,costatum
GREWMI,Tiliaceae,Grewia,miqueliana
NEOSKI,Euphorbiaceae,Neoscortechinia,kingii
GYMNFO,Myristicaceae,Gymnacranthera,forbesii
PSE2MA,Annonaceae,Pseuduvaria,macrophylla
OCHAAM,Olacaceae,Ochanostachys,amentacea
BACCRA,Euphorbiaceae,Baccaurea,racemosa
SHORP1,Dipterocarpaceae,Shorea,parvifolia
XYLOM2,Annonaceae,Xylopia,malayana
TRI3MA,Euphorbiaceae,Trigonostemon,malaccanus
SINDCO,Leguminosae: Caesalpinia-Group,Sindora,coriacea
MADHMA,Sapotaceae,Madhuca,malaccensis
CYNOMA,Leguminosae: Caesalpinia-Group,Cynometra,malaccensis
CHAMMA,Opiliaceae,Champereia,manillana
SHOROV,Dipterocarpaceae,Shorea,ovalis
UROPHI,Rubiaceae,Urophyllum,hirsutum
DIALPL,Leguminosae: Dialium-Group,Dialium,platysepalum
APORGL,Euphorbiaceae,Aporusa,globifera
PORTAN,Rubiaceae,Porterandia,anisophylla
CANALL,Burseraceae,Canarium,littorale var littorale
PTYCCO,Euphorbiaceae,Ptychopyxis,costata
SHORBR,Dipterocarpaceae,Shorea,bracteolata
CLE1M2,Euphorbiaceae,Cleistanthus,maingayi
MONOMA,Annonaceae,Monocarpia,marginalis
GALEFU,Pandaceae,Galearia,fulva
SANTAP,Burseraceae,Santiria,apiculata
LITSM2,Lauraceae,Litsea,magnifica
ENICFU,Annonaceae,Enicosanthum,fuscum
MIC1CA,Pandaceae,Microdesmis,caseariifolia
KNEMSC,Myristicaceae,Knema,scortechinii
POPOPI,Annonaceae,Popowia,pisocarpa
XANTGR,Polygalaceae,Xanthophyllum,griffithii
DIPLMA,Rubiaceae,Diplospora,malaccensis
DACRLA,Burseraceae,Dacryodes,laxa
HOPEDR,Dipterocarpaceae,Hopea,dryobalanoides
GONOGR,Icacinaceae,Gonocaryum,gracile
IXORLO,Rubiaceae,Ixora,lobbii
QUERAR,Fagaceae,Quercus,argentata
GARCMA,Clusiaceae,Garcinia,malaccensis
APORFA,Euphorbiaceae,Aporusa,falcifera
APORN1,Euphorbiaceae,Aporusa,nigricans
SHORL2,Dipterocarpaceae,Shorea,lepidota
ALPHMA,Annonaceae,Alphonsea,maingayi
IXORC2,Rubiaceae,Ixora,congesta
EUGEST,Myrtaceae,Eugenia,scortechinii
IXORC1,Rubiaceae,Ixora,concinna
DURIGR,Bombacaceae,Durio,griffithii
EURYLO,Simaroubaceae,Eurycoma,longifolia
MEMEME,Melastomataceae,Memecylon,megacarpum
DIOSSU,Ebenaceae,Diospyros,sumatrana
GREWBL,Tiliaceae,Microcos ,blattaefolia
PEN1MO,Anacardiaceae,Pentaspadon,motleyi
SHORGU,Dipterocarpaceae,Shorea,guiso
SCA2MA,Sterculiaceae,Scaphium ,macropodum
ANT1CO,Euphorbiaceae,Antidesma,coriaceum
MEMECA,Melastomataceae,Memecylon,cantleyi
GLUTM2,Anacardiaceae,Gluta,malayana
GARCEU,Clusiaceae,Garcinia,opaca
AGLACO,Meliaceae,Aglaia,cordata
DRYPPE,Euphorbiaceae,Drypetes,pendula
AGLAOD,Meliaceae,Aglaia,odoratissima
GIRONE,Ulmaceae,Gironniera,nervosa
GNETGN,Gnetaceae,Gnetum,gnemon
PALAHE,Sapotaceae,Palaquium,hexandrum
CRY1KU,Lauraceae,Cryptocarya,kurzii
SAPRSC,Rubiaceae,Saprosma,scortechinii
POL1RU,Annonaceae,Polyalthia,rumphii
ANI2CO,Anisophylleaceae,Anisophyllea,corneri
REINCI,Meliaceae,Reinwardtiodendron,cinereum
DIOSSI,Ebenaceae,Diospyros,singaporensis
MESURA,Clusiaceae,Kayea,racemosa
CRY1IN,Lauraceae,Cryptocarya,infectoria
XANTAF,Polygalaceae,Xanthophyllum,affine
DIOSL1,Ebenaceae,Diospyros,latisepala
KOOMMA,Leguminosae: Caesalpinia-Group,Koompassia,malaccensis
PAVES1,Rubiaceae,Pavetta,species 1
SARADE,Leguminosae: Caesalpinia-Group,Saraca,declinata
DIPTC2,Dipterocarpaceae,Dipterocarpus,costulatus
GIROSU,Ulmaceae,Gironniera,subaequalis
HOMALO,Flacourtiaceae,Homalium,longifolium
DIOSP2,Ebenaceae,Diospyros,pendula
POMEPA,Sapindaceae,Pometia,pinnata
LITHRA,Fagaceae,Lithocarpus,rassa
PRUNAR,Rosaceae,Prunus,arborea
EUGEGR,Myrtaceae,Eugenia,griffithii
EUGECH,Myrtaceae,Eugenia,chlorantha
GLYCCH,Rutaceae,Glycosmis,chlorosperma
CALODI,Clusiaceae,Calophyllum,dioscurii
DACRCO,Burseraceae,Dacryodes,costata
SANTLA,Burseraceae,Santiria,laevigata
PEN2ST,Tiliaceae,Pentace,strychnoidea
EUGEV2,Myrtaceae,Eugenia,variolosa
EUGEPU,Myrtaceae,Eugenia,pustulata
SYMPCR,Symplocaceae,Symplocos,crassipes
GARCNE,Clusiaceae,Garcinia ,nervosa
EUGEC1,Myrtaceae,Eugenia,cerasiformis
INTSPA,Leguminosae: Caesalpinia-Group,Intsia,palembanica
MEL1AN,Anacardiaceae,Melanochyla,angustifolia
DIOSBU,Ebenaceae,Diospyros,buxifolia
ANT1PE,Euphorbiaceae,Antidesma,pendulum
EUGEP2,Myrtaceae,Eugenia,polita
APORM2,Euphorbiaceae,Aporusa,lucida
EUGEDE,Myrtaceae,Eugenia,densiflora
MEL1FU,Anacardiaceae,Melanochyla,fulvinervis
CASTSC,Fagaceae,Castanopsis,schefferiana
GARCPA,Clusiaceae,Garcinia,parvifolia
DRA1LL,Dracaenaceae,Dracaena,tetrastachys
NEOSNI,Euphorbiaceae,Neoscortechinia,nicobarica
CANAPI,Burseraceae,Canarium,pilosum
HOMADI,Flacourtiaceae,Homalium,dictyoneurum
HORSS1,Myristicaceae,Horsfieldia,sucosa
DACRR2,Burseraceae,Dacryodes,rubiginosa
SCHOAC,Tiliaceae,Schoutenia ,accrescens
VATIPA,Dipterocarpaceae,Vatica,pauciflora
MEMEDI,Melastomataceae,Memecylon,dichotomum
DRYPPO,Euphorbiaceae,Drypetes,polyneura
SHOROC,Dipterocarpaceae,Shorea,ochrophloia
EUGECL,Myrtaceae,Eugenia,claviflora
ANACHE,Olacaceae,Anacolosa,frutescens
TRIOMA,Burseraceae,Triomma,malaccensis
AGLAAS,Meliaceae,Aglaia,aspera
GARCNI,Clusiaceae,Garcinia,nigrolineata
DIOSA2,Ebenaceae,Diospyros,argentea
CLE1SU,Euphorbiaceae,Cleistanthus,sumatranus
MALLLE,Euphorbiaceae,Mallotus,leucodermis
CALOTE,Clusiaceae,Calophyllum,tetrapterum
AGLAFO,Meliaceae,Aglaia,forbesii
AGLAGR,Meliaceae,Aglaia,grandis
GAEROB,Rubiaceae,Gaertnera,oblanceolata
STERC1,Sterculiaceae,Sterculia ,coccinea
AGLAO2,Meliaceae,Aglaia,lawii
HERISI,Sterculiaceae,Heritiera ,simplicifolia
MEL1TO,Anacardiaceae,Melanochyla,tomentosa
LITSUF,Lauraceae,Litsea,umbellata
HOPEME,Dipterocarpaceae,Hopea,mengarawan
MITRMA,Annonaceae,Mitrephora,maingayi
KNEMHO,Myristicaceae,Knema,hookeriana
MEMELI,Melastomataceae,Memecylon,lilacinum
XANTAM,Polygalaceae,Xanthophyllum,amoenum
BOUEOP,Anacardiaceae,Bouea,oppositifolia
GONITO,Annonaceae,Goniothalamus,tortilipetalus
DRYPLO,Euphorbiaceae,Drypetes,longifolia
ARDIPA,Myrsinaceae,Ardisia,pachysandra
CHASCU,Rubiaceae,Chasalia,curviflora
MEDUGR,Icacinaceae,Medusanthera,gracilis
ATUNEX,Chrysobalanaceae,Atuna ,excelsa
EUGEFI,Myrtaceae,Eugenia,filiformis
CRY1GR,Lauraceae,Cryptocarya,griffithiana
DIOSAN,Ebenaceae,Diospyros,andamanica
CANALT,Burseraceae,Canarium,littorale var.tomentosa
ARTOSC,Moraceae,Artocarpus,scortechinii
IGUAWA,Palmae,Iguanura,wallichiana
TABECO,Apocynaceae,Tabernaemontana,corymbosa
BACCRE,Euphorbiaceae,Baccaurea,reticulata
PSYDS8,Rubiaceae,Psydrax,species 8
BOUEMA,Anacardiaceae,Bouea,macrophylla
HEL2VE,Proteaceae,Heliciopsis,velutina
POL1ST,Annonaceae,Polyalthia,stenopetala
EUGECU,Myrtaceae,Eugenia,cumingiana
POL1SC,Annonaceae,Polyalthia,sclerophylla
TRI1HY,Trigoniaceae,Trigoniastrum,hypoleucum
PAVEGR,Rubiaceae,Pavetta,graciliflora
AGLAGL,Meliaceae,Aglaia,glabriflora
SANTTO,Burseraceae,Santiria,tomentosa
MEMEO1,Melastomataceae,Memecylon,oligoneurum
EUGERI,Myrtaceae,Eugenia,ridleyi
CRY1RU,Lauraceae,Cryptocarya,rugulosa
KINGNE,Annonaceae,Dendrokingstonia,nervosa
AGLAE1,Meliaceae,Aglaia,exstipulata
GARCSC,Clusiaceae,Garcinia,scortechinii
MESUKU,Clusiaceae,Kayea,kunstleri
APORSY,Euphorbiaceae,Aporusa,symplocoides
XYLOCA,Annonaceae,Xylopia,caudata
LITHWA,Fagaceae,Lithocarpus,wallichianus
APORN2,Euphorbiaceae,Aporusa,sessiliflora
RYPAKU,Flacourtiaceae,Ryparosa,kunstleri
GONYMA,Gonystylaceae,Gonystylus,maingayi
GLYPQU,Celastraceae,Glyptopetalum,quadrangulare
MESUGR,Clusiaceae,Kayea ,grandis
ERYCAL,Convolvulaceae,Erycibe,albida
MEL1S1,Anacardiaceae,Melanochyla,species one
DIOSCA,Ebenaceae,Diospyros,cauliflora
APH1SU,Meliaceae,Aphanamixis,sumatrana
SCLEWA,Santalaceae,Scleropyrum,wallichianum
NEPHMA,Sapindaceae,Nephelium,maingayi
ANT1CU,Euphorbiaceae,Antidesma,cuspidatum
MANGQU,Anacardiaceae,Mangifera,quadrifida
HYPORA,Rubiaceae,Hypobathrium,racemosum
HORSBR,Myristicaceae,Horsfieldia,brachiata
TETRPO,Myrsinaceae,Tetrardisia,porosa
MYRICI,Myristicaceae,Myristica,cinnamomea
PRISS1,Rubiaceae,Prismatomeris,species 1
ALSEP2,Lauraceae,Alseodaphne,peduncularis
EUGEP3,Myrtaceae,Eugenia,pseudosubtilis
ALPHEL,Annonaceae,Alphonsea,elliptica
ACTIPR,Lauraceae,Actinodaphne,pruinosa
ALANRI,Alangiaceae,Alangium,ridleyi
XYLOM1,Annonaceae,Xylopia,magna
MEMEAM,Melastomataceae,Memecylon,amplexicaule
MEMEEX,Melastomataceae,Memecylon,excelsum
STERPA,Sterculiaceae,Sterculia ,parviflora
QUERGE,Fagaceae,Quercus,gemelliflora
APORNE,Euphorbiaceae,Aporusa,nervosa
SANTGR,Burseraceae,Santiria,griffithii
ARCHMI,Leguminosae: Mimosa-Group,Archidendron,microcarpum
POL1SU,Annonaceae,Polyalthia,sumatrana
SANTRU,Burseraceae,Santiria,rubiginosa
IXORGL,Rubiaceae,Ixora,grandifolia
GOMPQU,Icacinaceae,Gomphandra,ovalifolia
CALOWA,Clusiaceae,Calophyllum,wallichianum
SCOLSP,Flacourtiaceae,Scolopia,spinosa
WALSCH,Meliaceae,Pseudoclausena,chrysogyne
EUGES2,Myrtaceae,Eugenia,syzygioides
TIMOWA,Rubiaceae,Timonius,wallichianus
HORSS2,Myristicaceae,Horsfieldia,superba
GYNOAX,Rhizophoraceae,Gynotroches,axillaris
DEHACU,Lauraceae,Dehaasia,cuneata
BLUMTO,Euphorbiaceae,Blumeodendron,tokbrai
MYRIM1,Myristicaceae,Myristica,maingayi
LEPIFR,Sapindaceae,Lepisanthes,fruticosa
NEOSSU,Euphorbiaceae,Neoscortechinia,sumatrensis
DIPTCR,Dipterocarpaceae,Dipterocarpus,crinitus
HORSPO,Myristicaceae,Horsfieldia,polyspherula
EUGESU,Myrtaceae,Eugenia,subdecussata
DRIMLU,Anacardiaceae,Drimycarpus,luridus
XANTCH,Polygalaceae,Xanthophyllum,chartaceum
RINOSC,Violaceae,Rinorea,sclerocarpa
DRYPLA,Euphorbiaceae,Drypetes,laevis
SARATH,Leguminosae: Caesalpinia-Group,Saraca,thaipingensis
BARRPE,Lecythidaceae,Barringtonia,pendula
DYSOAL,Meliaceae,Dysoxylum,alliaceum
CINNJA,Lauraceae,Cinnamomum,javanicum
BEILL1,Lauraceae,Beilschmiedia,lucidula
IRVIMA,Irvingiaceae,Irvingia,malayana
BEILP2,Lauraceae,Beilschmiedia,palembanica
LITHWR,Fagaceae,Lithocarpus,wrayi
SEMECU,Anacardiaceae,Semecarpus,curtisii
KOKORE,Celastraceae,Kokoona,reflexa
DRYPKI,Euphorbiaceae,Drypetes,kikir
TEIJCO,Verbenaceae,Teijsmanniodendron,coriaceum
KNEMST,Myristicaceae,Knema,stenophylla
NEPHER,Sapindaceae,Nephelium,cuspidatum
DRA1SL,Dracaenaceae,Dracaena,elliptica
ELATTA,Euphorbiaceae,Elateriospermum,tapos
IXORGG,Rubiaceae,Ixora,grandifolia
KOILLO,Euphorbiaceae,Koilodepas,longifolium
MANGFO,Anacardiaceae,Mangifera,foetida
CALOMA,Clusiaceae,Calophyllum,macrocarpum
DIOSS1,Ebenaceae,Diospyros,species 1
POL1JE,Annonaceae,Polyalthia,jenkinsii
ALSES1,Lauraceae,Alseodaphne,species 1
EUGEPR,Myrtaceae,Eugenia,prainiana
KNEMCU,Myristicaceae,Knema,curtisii
NEPHOP,Sapindaceae,Nephelium,ophioides
HYPOVE,Rubiaceae,Hypobathrium,venulosum
SAR1GR,Oxalidaceae,Sarcotheca,griffithii
KIBAMA,Apocynaceae,Kibatalia,maingayi
WALSPI,Meliaceae,Walsura,pinnata
MEL1AU,Anacardiaceae,Melanochyla,auriculata
DRA1ML,Dracaenaceae,Dracaena,brachystachys
POL1GL,Annonaceae,Polyalthia,glauca
CANAME,Burseraceae,Canarium,megalanthum
CINNIN,Lauraceae,Cinnamomum,iners
PAR4IN,Anacardiaceae,Parishia,insignis
PRISGL,Rubiaceae,Prismatomeris,glabra
EUGESB,Myrtaceae,Eugenia,species b
BLUMSU,Euphorbiaceae,Blumeodendron,subrotundifolium
EUGETU,Myrtaceae,Eugenia,tumida
CLERDE,Verbenaceae,Clerodendrum,deflexum
LITSCA,Lauraceae,Litsea,castanea
CTENPA,Ctenolophonaceae,Ctenolophon,parvifolius
MEMEO2,Melastomataceae,Memecylon,oleifolium
EUGEDU,Myrtaceae,Eugenia,duthieana
EUGEIN,Myrtaceae,Eugenia,inophylla var. barnardi
HERIEL,Sterculiaceae,Heritiera ,elata
PAR2DE,Dipterocarpaceae,Parashorea,densiflora
PSE1SI,Myrtaceae,Pseudoeugenia,singaporensis
MEZZLE,Annonaceae,Mezzettia,leptopoda
COELGR,Bombacaceae,Coelostegia,griffithii
CHISTO,Meliaceae,Chisocheton,tomentosus
ELAEP3,Elaeocarpaceae,Elaeocarpus,palembanicus
IXORPE,Rubiaceae,Ixora,pendula
NOTHUM,Lauraceae,Nothaphoebe,umbelliflora
